ID,Intitulé_emploi,ROME niveau 1 lib,ROME niveau 2 lib,CodeROME,Intitulé ROME,FAPcode,FAPlib,PCScode,PCSlib,Statut_emploi,Niveau_emploi,Type_employeur,Secteur_activité_entreprise,Effectif_entreprise,Temps_travail,Quotité_partiel,Classe_rémuneration_mensuelle,Département_emploi,Mode_obtention,Durée_accès,Année_diplôme,Code_diplôme,Composante_diplôme,Mention_diplôme,Spécialité_diplôme,Domaine_diplôme,Filière_diplôme,Diplôme_ROME1,Diplôme_ROME2,Diplôme_ROME3,Diplôme_ROME4,Diplôme_ROME5
,Technico-commercial,"COMMERCE, VENTE ET GRANDE DISTRIBUTION",Force de vente,D1407,Relation technico-commerciale,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 10 à 49,,,2500 et plus,,À la suite d un stage ou d un contrat en alternance,,2012,2006455,IUT,COMMERCE,TECHNICO-COMMERCIALE,,,,,,,
,dosimétriste,SANTE,Professionnels médico-techniques,J1306,Imagerie médicale,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,Santé humaine et action sociale,500 et plus,,,,,Réseau de relations professionnelles,,2012,2003575,SCIENCES,SANTE,DOSIMETRIE ET RADIOPROTECTION MEDICALE,,,,,,,
,Agent SAV,INSTALLATION ET MAINTENANCE,"Equipements de production, équipements collectifs",I1304,Installation et maintenance d'équipements industriels et d'exploitation,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Commerce, transports, hébergement et restauration",,,,2500 et plus,,Candidature spontanée,,2012,2005847,IUT,MANAGEMENT DES ORGANISATIONS,ADMINISTRATION GENERALE DES PETITES ET MOYENNES ENTREPRISES/PETITES ET MOYENNES INDUSTRIES,,,,,,,
,technicien méthode,INDUSTRIE,Méthodes et gestion industrielles,H1404,Intervention technique en méthodes et industrialisation,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,Construction,de 10 à 49,,,1500 à 2000,,À la suite d un stage ou d un contrat en alternance,,2012,2006833,SCIENCES,GENIE CIVIL ET CONSTRUCTION,BATIMENTS A HAUTES PERFORMANCES ENERGETIQUES,,,,,,,
,vendeur en jardinerie,"COMMERCE, VENTE ET GRANDE DISTRIBUTION",Grande distribution,D1503,Management/gestion de rayon produits non alimentaires,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 3 à 9,,,2500 et plus,,Candidature spontanée,,2012,2006455,IUT,COMMERCE,TECHNICO-COMMERCIALE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2012,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,conseiller vente accueil,SUPPORT À L'ENTREPRISE,Secrétariat et assistance,M1601,Accueil et renseignements,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Employé de bureau, de commerce, personnel de service",Une entreprise privée,Activités financières et d'assurance,de 10 à 49,,,Moins de 1000,,Cabinet de recrutement,,2012,2006150,IUT,"ASSURANCE, BANQUE, FINANCE",BANQUE ASSURANCE FINANCE (ECHANGES ET GESTION),,,,,,,
,ingénieur en développement web,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1805,Études et développement informatique,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,"Activités spécialisées, scientifiques et techniques",de 10 à 49,,,2500 et plus,,"Réponse à une offre d emploi (Internet, courrier)",,2012,2006456,LASH,SYSTEMES INFORMATIQUES ET LOGICIELS,INFORMATIQUE MULTIMEDIA APPLIQUEE,,,,,,,
,,,,,,,,,,,,,,,,,1500 à 2000,,,,2012,2006456,LASH,SYSTEMES INFORMATIQUES ET LOGICIELS,INFORMATIQUE MULTIMEDIA APPLIQUEE,,,,,,,
,gérant salarié d'une société,SUPPORT À L'ENTREPRISE,Direction d'entreprise,M1302,Direction de petite ou moyenne entreprise,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,Construction,de 3 à 9,,,,,Réseau de relations professionnelles,,2012,2006833,SCIENCES,GENIE CIVIL ET CONSTRUCTION,BATIMENTS A HAUTES PERFORMANCES ENERGETIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2012,2006833,SCIENCES,GENIE CIVIL ET CONSTRUCTION,BATIMENTS A HAUTES PERFORMANCES ENERGETIQUES,,,,,,,
,,,,,,,,,,,,,,,,,Moins de 1000,,,,2012,2005847,IUT,MANAGEMENT DES ORGANISATIONS,ADMINISTRATION GENERALE DES PETITES ET MOYENNES ENTREPRISES/PETITES ET MOYENNES INDUSTRIES,,,,,,,
,,,,,,,,,,,,,,,,,2500 et plus,,,,2012,2005847,IUT,MANAGEMENT DES ORGANISATIONS,ADMINISTRATION GENERALE DES PETITES ET MOYENNES ENTREPRISES/PETITES ET MOYENNES INDUSTRIES,,,,,,,
,développement recherche et dévellopement,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1805,Études et développement informatique,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,"Activités spécialisées, scientifiques et techniques",de 200 à 499,,,1000 à 1500,,"Réseau de relations personnelles, familiales...",,2012,2003767,IUT,AUTOMATIQUE ET INFORMATIQUE INDUSTRIELLE,SYSTEMES AUTOMATISES ET RESEAUX INDUSTRIELS,,,,,,,
,agent administratif,SUPPORT À L'ENTREPRISE,Secrétariat et assistance,M1602,Opérations administratives,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Employé de bureau, de commerce, personnel de service","Une entreprise publique (La Poste, SNCF, EDF, France Televisions ...)",Activités de services administratifs et de soutien,de 50 à 199,,,2000 à 2500,,Candidature spontanée,,2012,2006150,IUT,"ASSURANCE, BANQUE, FINANCE",BANQUE ASSURANCE FINANCE (ECHANGES ET GESTION),,,,,,,
,technico-commercial,"COMMERCE, VENTE ET GRANDE DISTRIBUTION",Force de vente,D1407,Relation technico-commerciale,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 3 à 9,,,,,"Réseau de relations personnelles, familiales...",,2012,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,cadre dans un centre mutualiste,"BANQUE, ASSURANCE, IMMOBILIER",Assurance,C1102,Conseil clientèle en assurances,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,Santé humaine et action sociale,de 10 à 49,,,2500 et plus,,"Réponse à une offre d emploi (Internet, courrier)",,2012,2005136,IUT Cannes,ACTIVITES ET TECHNIQUES DE COMMUNICATION,JOURNALISME AUDIOVISUEL:PRODUCTION DE MAGAZINES TELEVISES,,,,,,,
,consultant indépendant,SUPPORT À L'ENTREPRISE,Organisation et études,M1402,Conseil en organisation et management d'entreprise,,,,,"Profession libérale, indépendant, chef d'entreprise, auto-entrepreneur","Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Vous-même,"Activités spécialisées, scientifiques et techniques",Pas de salarié,,,,,Création ou reprise d entreprise,,2012,2006253,IUT Sophia,GESTION DE LA PRODUCTION INDUSTRIELLE,MANAGEMENT DES PROCESSUS INTERNES,,,,,,,
,Agent d'escale aéroportuaire,TRANSPORT ET LOGISTIQUE,Personnel sédentaire du transport aérien,N2201,Personnel d'escale aéroportuaire,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Employé de bureau, de commerce, personnel de service",Une entreprise privée,Autres activités de service,de 50 à 199,,,Moins de 1000,,À la suite d un stage ou d un contrat en alternance,,2012,2008426,IAE,HOTELLERIE ET TOURISME,ARTS ET TECHNIQUES DE L'HOTELLERIE DE LUXE,,,,,,,
,réceptionniste,HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION,Accueil en hôtellerie,G1703,Réception en hôtellerie,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 10 à 49,,,2000 à 2500,,"Réponse à une offre d emploi (Internet, courrier)",,2012,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,Auto-entrepreneur dans l'immobilier,"BANQUE, ASSURANCE, IMMOBILIER",Immobilier,C1503,Management de projet immobilier,,,,,"Profession libérale, indépendant, chef d'entreprise, auto-entrepreneur","Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Vous-même,Autres activités de service,Pas de salarié,,,1500 à 2000,,Création ou reprise d entreprise,,2012,2006206,IUT,COMMERCE,MANAGEMENT ET COMMERCIALISATION DES BIENS ET SERVICES IMMOBILIERS,,,,,,,
,Attaché de service ,"BANQUE, ASSURANCE, IMMOBILIER",Banque,C1206,Gestion de clientèle bancaire,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,Activités financières et d'assurance,de 3 à 9,,,2500 et plus,,À la suite d un stage ou d un contrat en alternance,,2012,2006150,IUT,"ASSURANCE, BANQUE, FINANCE",BANQUE ASSURANCE FINANCE (ECHANGES ET GESTION),,,,,,,
,Développeur en informatique,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1805,Études et développement informatique,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,"Activités spécialisées, scientifiques et techniques",de 10 à 49,,,1500 à 2000,,À la suite d un stage ou d un contrat en alternance,,2012,2003767,IUT,AUTOMATIQUE ET INFORMATIQUE INDUSTRIELLE,SYSTEMES AUTOMATISES ET RESEAUX INDUSTRIELS,,,,,,,
,Technicien supérieur,,,,,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,"Activités spécialisées, scientifiques et techniques",de 10 à 49,,,1000 à 1500,,À la suite d un stage ou d un contrat en alternance,,2012,2003767,IUT,AUTOMATIQUE ET INFORMATIQUE INDUSTRIELLE,SYSTEMES AUTOMATISES ET RESEAUX INDUSTRIELS,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2012,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2012,2003767,IUT,AUTOMATIQUE ET INFORMATIQUE INDUSTRIELLE,SYSTEMES AUTOMATISES ET RESEAUX INDUSTRIELS,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2012,2003610,IUT Sophia,SYSTEMES INFORMATIQUES ET LOGICIELS,INFORMATIQUE DISTRIBUEE ET SYSTEME D'INFORMATION D'ENTREPRISE (IDSE),,,,,,,
,,,,,,,,,,,,,,,,,,,,,2012,2008426,IAE,HOTELLERIE ET TOURISME,ARTS ET TECHNIQUES DE L'HOTELLERIE DE LUXE,,,,,,,
,Employé de banque,"BANQUE, ASSURANCE, IMMOBILIER",Gestion administrative banque et assurances,C1401,Gestion en banque et assurance,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,Activités financières et d'assurance,de 3 à 9,,,2500 et plus,,À la suite d un stage ou d un contrat en alternance,,2012,2006150,IUT,"ASSURANCE, BANQUE, FINANCE",BANQUE ASSURANCE FINANCE (ECHANGES ET GESTION),,,,,,,
,Assistante ADMINISTRATION DES VENTES,SUPPORT À L'ENTREPRISE,"Stratégie commerciale, marketing et supervision des ventes",M1701,Administration des ventes,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,Autres activités de service,de 3 à 9,,,,,Candidature spontanée,,2012,2006253,IUT Sophia,GESTION DE LA PRODUCTION INDUSTRIELLE,MANAGEMENT DES PROCESSUS INTERNES,,,,,,,
,assistante de département d'enseignement,,,,,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,"Activités spécialisées, scientifiques et techniques",500 et plus,,,1000 à 1500,,"Réponse à une offre d emploi (Internet, courrier)",,2012,2006206,IUT,COMMERCE,MANAGEMENT ET COMMERCIALISATION DES BIENS ET SERVICES IMMOBILIERS,,,,,,,
,responsable adjointe administrative ,SUPPORT À L'ENTREPRISE,Comptabilité et gestion,M1205,Direction administrative et financière,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 50 à 199,,,,,"Réseau de relations personnelles, familiales...",,2012,2002616,ISEM,COMMERCE,DISTRIBUTION - MANAGEMENT ET GESTION DE RAYONS (DISTRISUP),,,,,,,
,chargé de la migration de la messagerie en ligne de microsoft,,,,,,,,,Intérimaire,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Activités spécialisées, scientifiques et techniques",de 50 à 199,,,,,Intérim,,2012,2003319,IUT Sophia,RESEAUX ET TELECOMMUNICATIONS,INGENIERIE DES RESEAUX MOBILES,,,,,,,
,directeur administratif d'une entreprise du BTP,SUPPORT À L'ENTREPRISE,Comptabilité et gestion,M1205,Direction administrative et financière,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,Construction,de 3 à 9,,,2500 et plus,,"Réseau de relations personnelles, familiales...",,2012,2005136,IUT Sophia,ACTIVITES ET TECHNIQUES DE COMMUNICATION,JOURNALISME AUDIOVISUEL:PRODUCTION DE MAGAZINES TELEVISES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2012,2003294,IUT Menton,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,gestionnaire financier,SUPPORT À L'ENTREPRISE,Comptabilité et gestion,M1205,Direction administrative et financière,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,Activités financières et d'assurance,500 et plus,,,,,"Réponse à une offre d emploi (Internet, courrier)",,2012,2006150,IUT,"ASSURANCE, BANQUE, FINANCE",BANQUE ASSURANCE FINANCE (ECHANGES ET GESTION),,,,,,,
,,,,,,,,,,,,,,,,,2500 et plus,,,,2012,2006150,IUT,"ASSURANCE, BANQUE, FINANCE",BANQUE ASSURANCE FINANCE (ECHANGES ET GESTION),,,,,,,
,Employé de banque,"BANQUE, ASSURANCE, IMMOBILIER",Gestion administrative banque et assurances,C1401,Gestion en banque et assurance,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Activités spécialisées, scientifiques et techniques",de 3 à 9,,,1500 à 2000,,À la suite d un stage ou d un contrat en alternance,,2012,2006150,IUT,"ASSURANCE, BANQUE, FINANCE",BANQUE ASSURANCE FINANCE (ECHANGES ET GESTION),,,,,,,
,,,,,,,,,,,,,,,,,1500 à 2000,,,,2012,2006150,IUT,"ASSURANCE, BANQUE, FINANCE",BANQUE ASSURANCE FINANCE (ECHANGES ET GESTION),,,,,,,
,,,,,,,,,,,,,,,,,2500 et plus,,,,2012,2006150,IUT,"ASSURANCE, BANQUE, FINANCE",BANQUE ASSURANCE FINANCE (ECHANGES ET GESTION),,,,,,,
,Dosimétriste,SANTE,Professionnels médico-techniques,J1306,Imagerie médicale,,,,,CDI,"Employé de bureau, de commerce, personnel de service","Une entreprise publique (La Poste, SNCF, EDF, France Televisions ...)",Santé humaine et action sociale,500 et plus,,,2500 et plus,,Réseau de relations professionnelles,,2012,2003575,SCIENCES,SANTE,DOSIMETRIE ET RADIOPROTECTION MEDICALE,,,,,,,
,Chef dans un restaurant,HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION,Service,G1803,Service en restauration,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 3 à 9,,,,,Réseau de relations professionnelles,,2012,2006455,IUT,COMMERCE,TECHNICO-COMMERCIALE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2012,2005847,IUT,MANAGEMENT DES ORGANISATIONS,ADMINISTRATION GENERALE DES PETITES ET MOYENNES ENTREPRISES/PETITES ET MOYENNES INDUSTRIES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2012,2003610,IUT Sophia,SYSTEMES INFORMATIQUES ET LOGICIELS,INFORMATIQUE DISTRIBUEE ET SYSTEME D'INFORMATION D'ENTREPRISE (IDSE),,,,,,,
,ingenieur qualite,INDUSTRIE,Qualité et analyses industrielles,H1502,Management et ingénierie qualité industrielle,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,Santé humaine et action sociale,,,,2000 à 2500,,,,2012,2002565,SCIENCES,BIOTECHNOLOGIES,"GENIE BIOLOGIQUE, MICROSCOPIE ET QUALITE",,,,,,,
,,,,,,,,,,,,,,,,,,,,,2012,2008426,IAE,HOTELLERIE ET TOURISME,ARTS ET TECHNIQUES DE L'HOTELLERIE DE LUXE,,,,,,,
,Commercial ,"COMMERCE, VENTE ET GRANDE DISTRIBUTION",Force de vente,D1401,Assistanat commercial,,,,,CDI,,Une entreprise privée,Construction,500 et plus,,,1500 à 2000,,"Réseau de relations personnelles, familiales...",,2012,2006455,IUT,COMMERCE,TECHNICO-COMMERCIALE,,,,,,,
,,,,,,,,,,,,,,,,,1000 à 1500,,,,2012,2005136,IUT Sophia,ACTIVITES ET TECHNIQUES DE COMMUNICATION,JOURNALISME AUDIOVISUEL:PRODUCTION DE MAGAZINES TELEVISES,,,,,,,
,,,,,,,,,,,,,,,,,1500 à 2000,,,,2012,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,Support technique informatique pour professionels,INSTALLATION ET MAINTENANCE,Equipements domestiques et informatique,I1401,Maintenance informatique et bureautique,,,,,CDI,,Une entreprise privée,Information et communication,500 et plus,,,2500 et plus,,"Dépôt de CV sur Internet (CV thèque, site personnel, réseaux sociaux)",,2012,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,Distributeur de journaux,SUPPORT À L'ENTREPRISE,Secrétariat et assistance,M1603,Distribution de Documents,,,,,CDI,"Manoeuvre, ouvrier",Une entreprise privée,Autres activités de service,de 50 à 199,,,,,"Réponse à une offre d emploi (Internet, courrier)",,2012,2005136,IUT Sophia,ACTIVITES ET TECHNIQUES DE COMMUNICATION,JOURNALISME AUDIOVISUEL:PRODUCTION DE MAGAZINES TELEVISES,,,,,,,
,,,,,,,,,,,,,,,,,Moins de 1000,,,,2012,2006226,IUT,ELECTRICITE ET ELECTRONIQUE,ELECTROTECHNIQUE ET ENERGIES RENOUVELABLES,,,,,,,
,chef de rang,,,,,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Commerce, transports, hébergement et restauration",500 et plus,,,Moins de 1000,,Candidature spontanée,,2012,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2012,2002616,ISEM,COMMERCE,DISTRIBUTION - MANAGEMENT ET GESTION DE RAYONS (DISTRISUP),,,,,,,
,L2 Analyst in IT Support,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1805,Études et développement informatique,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,Autres activités de service,500 et plus,,,2000 à 2500,,"Réponse à une offre d emploi (Internet, courrier)",,2012,2006426,IUT Sophia,SYSTEMES INFORMATIQUES ET LOGICIELS,ADMINISTRATION SYSTEME (ADMIN),,,,,,,
,,,,,,,,,,,,,,,,,,,,,2012,2006206,IUT,COMMERCE,MANAGEMENT ET COMMERCIALISATION DES BIENS ET SERVICES IMMOBILIERS,,,,,,,
,,,,,,,,,,CDI,,Une entreprise privée,,,,,,,,,2012,2005847,IUT,MANAGEMENT DES ORGANISATIONS,ADMINISTRATION GENERALE DES PETITES ET MOYENNES ENTREPRISES/PETITES ET MOYENNES INDUSTRIES,,,,,,,
,Analyste programmeur,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1805,Études et développement informatique,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,Information et communication,de 3 à 9,,,2000 à 2500,,À la suite d un stage ou d un contrat en alternance,,2012,2005139,IUT Sophia,SYSTEMES INFORMATIQUES ET LOGICIELS,"INFORMATIQUE, MULTIMEDIA ET JEUX SUR RESEAU (IMJ)",,,,,,,
